"name"	"ID"	"cand1_vs_parental_p.val"	"cand11_vs_parental_p.val"	"cand12_vs_parental_p.val"	"cand16_vs_parental_p.val"	"cand19_vs_parental_p.val"	"cand2_vs_parental_p.val"	"GFP_link_vs_parental_p.val"	"cand1_vs_parental_p.adj"	"cand11_vs_parental_p.adj"	"cand12_vs_parental_p.adj"	"cand16_vs_parental_p.adj"	"cand19_vs_parental_p.adj"	"cand2_vs_parental_p.adj"	"GFP_link_vs_parental_p.adj"	"cand1_vs_parental_significant"	"cand11_vs_parental_significant"	"cand12_vs_parental_significant"	"cand16_vs_parental_significant"	"cand19_vs_parental_significant"	"cand2_vs_parental_significant"	"GFP_link_vs_parental_significant"	"significant"	"cand1_vs_parental_ratio"	"cand11_vs_parental_ratio"	"cand12_vs_parental_ratio"	"cand16_vs_parental_ratio"	"cand19_vs_parental_ratio"	"cand2_vs_parental_ratio"	"GFP_link_vs_parental_ratio"	"cand1_centered"	"cand11_centered"	"cand12_centered"	"cand16_centered"	"cand19_centered"	"cand2_centered"	"GFP_link_centered"	"parental_centered"
"1"	"ALYREF"	"Q86V81"	0.849936331508444	0.107751591378815	0.631415503844358	2.2033044852196e-12	2.20330448521953e-12	2.11852305823638e-07	6.50406699719528e-11	0.798	0.32	0.834	0.00152	0.0432	1.85e-09	0.000445	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	-0.136	-1.18	0.346	-7.01	-7.01	-4.43	-6.22	3.07	2.03	3.55	-3.81	-3.81	-1.23	-3.02	3.21
"2"	"ANKRD54"	"Q6NXT1"	0.999999999999984	0.999999999999984	7.02682212792936e-05	0.999999999999984	0.999999999999984	0.999999999999984	0.999999999999984	0.821	0.704	0.0106	0.858	0.872	0.782	0.844	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	-1.07e-14	-1.07e-14	2.29	-1.07e-14	-1.07e-14	-1.07e-14	-1.07e-14	-0.286	-0.286	2	-0.286	-0.286	-0.286	-0.286	-0.286
"3"	"ANXA2"	"P07355"	0.410493552764962	0.999999999999987	0.999999999999987	0.999999999999987	8.04340839815513e-28	0.163509622346542	0.0872767048184838	0.675	0.704	0.876	0.858	1.04e-12	0.329	0.682	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	0.348	-7.11e-15	-7.11e-15	-7.11e-15	11.2	0.594	0.734	-1.26	-1.61	-1.61	-1.61	9.58	-1.01	-0.874	-1.61
"4"	"AP2A1"	"O95782-2"	0.00161465748681715	0.999999999999983	0.0405677931859504	0.999999999999983	0.999999999999983	0.999999999999983	0.999999999999983	0.0165	0.704	0.425	0.858	0.872	0.782	0.844	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2.25	-1.42e-14	1.41	-1.42e-14	-1.42e-14	-1.42e-14	-1.42e-14	1.79	-0.458	0.953	-0.458	-0.458	-0.458	-0.458	-0.458
"5"	"AP2B1"	"P63010-3"	0.969314237661697	8.23262724951181e-06	0.061874848730641	5.41902270357673e-07	5.41902270357673e-07	0.00358277195461341	5.41902270357673e-07	0.817	0.000446	0.499	0.108	0.395	0.00649	0.0342	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	-0.0441	-5.79	-2.19	-6.74	-6.74	-3.52	-6.74	3.93	-1.82	1.78	-2.77	-2.77	0.452	-2.77	3.97
"6"	"ATAD3A"	"Q9NVI7-2"	0.999999999999971	2.39152272677465e-24	0.00406590234018393	0.999999999999971	0.999999999999971	0.999999999999971	0.999999999999971	0.821	4.28e-15	0.127	0.858	0.872	0.782	0.844	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	-1.78e-14	10.4	1.46	-1.78e-14	-1.78e-14	-1.78e-14	-1.78e-14	-1.49	8.94	-0.0274	-1.49	-1.49	-1.49	-1.49	-1.49
"7"	"ATAD3B"	"Q5T9A4"	0.999999999999988	5.14214446209116e-05	0.999999999999988	0.999999999999988	0.999999999999988	0.999999999999988	0.999999999999988	0.821	0.00219	0.876	0.858	0.872	0.782	0.844	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	-1.07e-14	3.17	-1.07e-14	-1.07e-14	-1.07e-14	-1.07e-14	-1.07e-14	-0.396	2.77	-0.396	-0.396	-0.396	-0.396	-0.396	-0.396
"8"	"ATXN2L"	"Q8WWM7-6"	0.999999999999979	0.999999999999979	5.96826188827393e-05	0.999999999999979	0.999999999999979	0.999999999999979	0.999999999999979	0.821	0.704	0.00975	0.858	0.872	0.782	0.844	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	-1.42e-14	-1.42e-14	2.45	-1.42e-14	-1.42e-14	-1.42e-14	-1.42e-14	-0.306	-0.306	2.14	-0.306	-0.306	-0.306	-0.306	-0.306
"9"	"C11orf98"	"PL02612"	0.929050503057235	0.0019566069115367	0.397466528935241	0.0019566069115367	0.0019566069115367	0.0163464733498071	0.0019566069115367	0.811	0.0343	0.783	0.535	0.706	0.0336	0.371	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	0.0788	-2.91	-0.752	-2.91	-2.91	-2.2	-2.91	1.89	-1.09	1.06	-1.09	-1.09	-0.388	-1.09	1.81
"10"	"CAPZA2"	"P47755"	0.0023830818276991	0.361855721369466	0.999999999999987	0.999999999999987	0.999999999999987	0.295473333872414	0.999999999999987	0.0217	0.528	0.876	0.858	0.872	0.488	0.844	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	2.16	0.615	-1.07e-14	-1.07e-14	-1.07e-14	0.706	-1.07e-14	1.72	0.18	-0.435	-0.435	-0.435	0.272	-0.435	-0.435
"11"	"CCT3"	"P49368-2"	0.999024067812642	0.478105614376049	0.451663288270455	0.478105614376049	0.478105614376049	0.0182296124998035	0.478105614376049	0.821	0.578	0.798	0.825	0.852	0.0377	0.798	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-0.000627	-0.365	0.387	-0.365	-0.365	1.25	-0.365	-0.0231	-0.387	0.365	-0.387	-0.387	1.23	-0.387	-0.0225
"12"	"CDKN2AIP"	"Q9NXV6"	0.999999999999972	0.999999999999972	0.999999999999972	0.999999999999972	1.21256253057851e-29	0.999999999999972	0.999999999999972	0.821	0.704	0.876	0.858	4.86e-15	0.782	0.844	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	-7.11e-15	-7.11e-15	-7.11e-15	-7.11e-15	5.88	-7.11e-15	-7.11e-15	-0.735	-0.735	-0.735	-0.735	5.14	-0.735	-0.735	-0.735
"13"	"CFL1"	"P23528"	0.0483546178099794	0.999999999999996	0.0482487668464688	0.999999999999996	4.05662288160799e-17	0.00307984344710297	0.999999999999996	0.234	0.704	0.455	0.858	0.0014	0.00551	0.844	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	1.52	-3.55e-15	1.52	-3.55e-15	10.3	2.35	-3.55e-15	-0.442	-1.96	-0.441	-1.96	8.35	0.387	-1.96	-1.96
"14"	"CPSF1"	"Q10570"	1.82795108786844e-05	0.00883236851893785	0.9289631934625	0.00883236851893785	0.00883236851893785	0.0299952451733522	0.00883236851893785	0.000189	0.08	0.87	0.626	0.75	0.0618	0.498	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	3.94	-2.24	-0.073	-2.24	-2.24	1.83	-2.24	4.34	-1.83	0.333	-1.83	-1.83	2.23	-1.83	0.406
"15"	"CPSF2"	"Q9P2I0"	0.423812536848758	0.0133992403908609	0.476959084432163	0.0133992403908609	0.0133992403908609	0.0133992403908609	0.0133992403908609	0.681	0.1	0.804	0.649	0.761	0.0279	0.533	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-0.603	-1.93	-0.536	-1.93	-1.93	-1.93	-1.93	0.745	-0.581	0.812	-0.581	-0.581	-0.581	-0.581	1.35
"16"	"CS"	"O75390"	7.50494575480977e-05	0.999999999999978	0.999999999999978	0.999999999999978	0.999999999999978	0.999999999999978	0.999999999999978	0.000881	0.704	0.876	0.858	0.872	0.782	0.844	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1.71	-1.07e-14	-1.07e-14	-1.07e-14	-1.07e-14	-1.07e-14	-1.07e-14	1.49	-0.213	-0.213	-0.213	-0.213	-0.213	-0.213	-0.213
"17"	"DCD"	"P81605"	0.999999999999979	0.999999999999979	0.999999999999979	0.999999999999979	0.999999999999979	0.999999999999979	2.53242200087959e-12	0.821	0.704	0.876	0.858	0.872	0.782	5.61e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	-1.42e-14	-1.42e-14	-1.42e-14	-1.42e-14	-1.42e-14	-1.42e-14	5.15	-0.643	-0.643	-0.643	-0.643	-0.643	-0.643	4.5	-0.643
"18"	"DDX1"	"Q92499-3"	0.00182514532913254	0.383363751312916	0.0105936982556224	0.383363751312916	3.41994580568582e-05	0.989285103484052	0.888515972555378	0.0178	0.539	0.221	0.815	0.566	0.78	0.837	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	3.3	-0.872	2.65	-0.872	4.6	-0.0134	-0.14	2.22	-1.95	1.57	-1.95	3.52	-1.09	-1.22	-1.08
"19"	"DDX17"	"Q92841"	0.323408278888967	3.50114828122517e-06	0.0516241689403128	3.50114828122517e-06	0.202345643342365	0.107973359089502	3.50114828122517e-06	0.627	0.000211	0.467	0.17	0.83	0.233	0.0682	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.907	-4.86	-1.82	-4.86	1.18	-1.49	-4.86	2.88	-2.88	0.155	-2.88	3.15	0.483	-2.88	1.97
"20"	"DDX3X"	"O00571"	0.0266209859632566	0.0273331219218778	0.00104923704963565	3.6606113302575e-08	1.96857480486586e-06	0.630348539861953	3.6606113302575e-08	0.149	0.148	0.0626	0.0502	0.45	0.687	0.0107	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	1.91	1.9	2.93	-5.59	4.59	0.402	-5.59	1.84	1.83	2.86	-5.66	4.52	0.335	-5.66	-0.0677
"21"	"DDX5"	"P17844"	0.696398982169593	0.333473322969741	0.175510297983553	9.52969125954334e-10	0.273869021589819	0.500026257516591	4.06812769534334e-07	0.768	0.514	0.672	0.0162	0.838	0.631	0.0306	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	0.261	-0.651	0.917	-5.23	-0.738	-0.453	-3.99	1.5	0.584	2.15	-3.99	0.498	0.783	-2.76	1.24
"22"	"DHX9"	"Q08211"	0.375657437510875	2.25963410859159e-07	0.766260446304448	2.32579761125904e-15	2.32579761125911e-15	0.457410969328156	5.02256990499435e-13	0.658	1.17e-05	0.852	4.06e-05	0.00625	0.608	1.63e-05	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	0.664	-4.58	0.222	-9.06	-9.06	-0.556	-7.64	4.41	-0.83	3.97	-5.31	-5.31	3.2	-3.89	3.75
"23"	"DMBT1"	"Q9UGM3-5"	6.34276886317328e-10	0.0740923576890864	4.21479564014104e-06	0.074092357689087	0.0740923576890864	0.00280880564953964	0.0740923576890864	2.25e-11	0.265	0.0014	0.739	0.805	0.00502	0.67	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	7.93	-1.82	5.25	-1.82	-1.82	3.15	-1.82	6.79	-2.95	4.12	-2.95	-2.95	2.02	-2.95	-1.13
