"name"	"ID"	"X16KI_vs_parental_p.val"	"X16KI_vs_parental_p.adj"	"significant"	"X16KI_vs_parental_significant"	"X16KI_vs_parental_ratio"	"parental_centered"	"X16KI_centered"
"1"	"DS16_GFP"	"DS16_GFP"	3.23046203025288e-09	2.52e-14	TRUE	TRUE	8.37	-4.19	4.19
"2"	"G3BP1"	"Q13283"	0.00304172538561785	0.0468	TRUE	TRUE	1.24	-0.622	0.622
"3"	"HNRNPD"	"Q14103-3"	0.000451265333693711	0.0043	TRUE	TRUE	0.983	-0.491	0.491
"4"	"MIF"	"P14174"	7.73511498209244e-06	1.39e-07	TRUE	TRUE	3.26	-1.63	1.63
"5"	"RPL30"	"P62888"	8.5324412695721e-05	0.000149	TRUE	TRUE	-2.97	1.49	-1.49
"6"	"RPS3A"	"P61247"	0.00118115497071976	0.0188	TRUE	TRUE	0.837	-0.419	0.419
"7"	"SFPQ"	"P23246"	0.00337168872562937	0.05	TRUE	TRUE	0.841	-0.42	0.42
"8"	"SNRPA1"	"P09661"	0.00179705074848482	0.0303	TRUE	TRUE	-0.861	0.431	-0.431
"9"	"ACTG1"	"P63261"	0.981822574858738	0.618	FALSE	FALSE	0.00982	-0.00491	0.00491
"10"	"ACTG2"	"P63267"	0.220892643627525	0.338	FALSE	FALSE	1.78	-0.89	0.89
"11"	"ALYREF"	"Q86V81"	0.874676579202758	0.596	FALSE	FALSE	-0.0588	0.0294	-0.0294
"12"	"AP2B1"	"P63010-3"	0.067999291198569	0.191	FALSE	FALSE	1.57	-0.786	0.786
"13"	"ATXN2L"	"Q8WWM7"	0.0451254228917118	0.156	FALSE	FALSE	1.67	-0.837	0.837
"14"	"BUB3"	"O43684-2"	0.0467164433341114	0.157	FALSE	FALSE	1.08	-0.538	0.538
"15"	"C11orf98"	"PL02612"	0.00718561719266048	0.069	FALSE	FALSE	1.95	-0.974	0.974
"16"	"CAPRIN1"	"Q14444-2"	0.160814387738601	0.283	FALSE	FALSE	1.55	-0.773	0.773
"17"	"CAPZA1"	"P52907"	0.0398733659400443	0.151	FALSE	FALSE	0.568	-0.284	0.284
"18"	"COPB2"	"P35606-2"	0.733116262709819	0.563	FALSE	FALSE	0.393	-0.197	0.197
"19"	"CPSF1"	"Q10570"	0.0578547066702214	0.174	FALSE	FALSE	-1.17	0.587	-0.587
"20"	"DAP3"	"P51398-2"	0.0114753308930562	0.0903	FALSE	FALSE	2.16	-1.08	1.08
"21"	"DAZAP1"	"Q96EP5-2"	0.00798260506667915	0.071	FALSE	FALSE	2.35	-1.18	1.18
"22"	"DDX1"	"Q92499-3"	0.0170316763559194	0.112	FALSE	FALSE	1.84	-0.92	0.92
"23"	"DDX17"	"Q92841-1"	0.75629531928084	0.568	FALSE	FALSE	-0.193	0.0967	-0.0967
"24"	"DDX21"	"Q9NR30-2"	0.905864232156521	0.602	FALSE	FALSE	0.0983	-0.0491	0.0491
"25"	"DDX3X"	"O00571"	0.00353931592048007	0.0514	FALSE	FALSE	0.983	-0.492	0.492
"26"	"DDX5"	"P17844"	0.00814580039096102	0.0713	FALSE	FALSE	0.705	-0.353	0.353
"27"	"DHX9"	"Q08211"	0.692598206358366	0.552	FALSE	FALSE	0.11	-0.055	0.055
"28"	"EEF1A1"	"P68104"	0.0165324683271655	0.111	FALSE	FALSE	2.81	-1.4	1.4
"29"	"ELAVL1"	"Q15717"	0.240252129532829	0.353	FALSE	FALSE	1.02	-0.512	0.512
"30"	"EPM2A"	"O95278-4"	0.0231293916615822	0.128	FALSE	FALSE	1.76	-0.88	0.88
"31"	"ERH"	"P84090"	0.529502705307018	0.501	FALSE	FALSE	0.625	-0.312	0.312
"32"	"FAU"	"PS01184"	0.642657384497255	0.538	FALSE	FALSE	0.0771	-0.0386	0.0386
"33"	"FUS"	"P35637-2"	0.0559792800257672	0.171	FALSE	FALSE	1.93	-0.966	0.966
"34"	"G3BP2"	"Q9UN86-2"	0.00712280863121495	0.0688	FALSE	FALSE	0.935	-0.468	0.468
"35"	"H1FX"	"Q92522"	0.0234510539950767	0.129	FALSE	FALSE	1.84	-0.922	0.922
"36"	"H2AFX"	"P16104"	0.609626656151743	0.527	FALSE	FALSE	0.671	-0.336	0.336
"37"	"HDAC6"	"Q9UBN7"	0.0400687809214355	0.152	FALSE	FALSE	1.54	-0.772	0.772
"38"	"HIST1H1B"	"P16401"	0.259752384789118	0.367	FALSE	FALSE	1.36	-0.681	0.681
"39"	"HIST1H1D"	"P16402"	0.566233289029355	0.513	FALSE	FALSE	0.181	-0.0904	0.0904
"40"	"HIST1H2BL"	"Q99880"	0.135971237232325	0.264	FALSE	FALSE	-0.541	0.27	-0.27
"41"	"HIST1H4A"	"P62805"	0.0276348502265621	0.136	FALSE	FALSE	2.5	-1.25	1.25
"42"	"HIST2H2AC"	"Q16777"	0.321047059953868	0.406	FALSE	FALSE	-0.393	0.196	-0.196
"43"	"HMGA1"	"P17096"	0.39554421886528	0.445	FALSE	FALSE	-0.271	0.135	-0.135
"44"	"HNRNPA0"	"Q13151"	0.116161448691199	0.248	FALSE	FALSE	0.399	-0.2	0.2
