"name"	"ID"	"X16KI_vs_parental_p.val"	"X16KI_vs_parental_p.adj"	"significant"	"X16KI_vs_parental_significant"	"X16KI_vs_parental_ratio"	"parental_centered"	"X16KI_centered"
"1"	"DS16_GFP"	"DS16_GFP"	1.77426691176973e-09	3.97e-14	TRUE	TRUE	7.96	-3.98	3.98
"2"	"MIF"	"P14174"	2.37533789728502e-05	0.00199	TRUE	TRUE	2.84	-1.42	1.42
"3"	"RPL30"	"P62888"	3.05327698899226e-05	0.00241	TRUE	TRUE	-3.04	1.52	-1.52
"4"	"SNRPA1"	"P09661"	8.22004305095692e-05	0.0104	TRUE	TRUE	-1.29	0.644	-0.644
"5"	"ACTG1"	"P63261"	0.404732194996335	0.964	FALSE	FALSE	-0.417	0.208	-0.208
"6"	"ACTG2"	"P63267"	0.280008333882984	0.956	FALSE	FALSE	1.52	-0.758	0.758
"7"	"ALYREF"	"Q86V81"	0.155310433082307	0.939	FALSE	FALSE	-0.486	0.243	-0.243
"8"	"AP2B1"	"P63010-3"	0.164426747985844	0.941	FALSE	FALSE	1.15	-0.577	0.577
"9"	"ATXN2L"	"Q8WWM7"	0.107594979278694	0.925	FALSE	FALSE	1.26	-0.628	0.628
"10"	"BUB3"	"O43684-2"	0.0556906889907942	0.892	FALSE	FALSE	0.832	-0.416	0.416
"11"	"C11orf98"	"PL02612"	0.00731958889396344	0.66	FALSE	FALSE	1.65	-0.824	0.824
"12"	"CAPRIN1"	"Q14444-2"	0.269171340714725	0.955	FALSE	FALSE	1.14	-0.571	0.571
"13"	"CAPZA1"	"P52907"	0.627814145946952	0.971	FALSE	FALSE	0.142	-0.0708	0.0708
"14"	"COPB2"	"P35606-2"	0.937825802500464	0.977	FALSE	FALSE	0.0849	-0.0424	0.0424
"15"	"CPSF1"	"Q10570"	0.0401043494085124	0.87	FALSE	FALSE	-1.24	0.618	-0.618
"16"	"DAP3"	"P51398-2"	0.0320080860811927	0.853	FALSE	FALSE	1.74	-0.87	0.87
"17"	"DAZAP1"	"Q96EP5-2"	0.00800119906628558	0.676	FALSE	FALSE	2	-1	1
"18"	"DDX1"	"Q92499-3"	0.051392301220659	0.887	FALSE	FALSE	1.42	-0.709	0.709
"19"	"DDX17"	"Q92841-1"	0.354205677628506	0.961	FALSE	FALSE	-0.53	0.265	-0.265
"20"	"DDX21"	"Q9NR30-2"	0.769190009683774	0.974	FALSE	FALSE	-0.227	0.113	-0.113
"21"	"DDX3X"	"O00571"	0.0446711275228192	0.878	FALSE	FALSE	0.557	-0.278	0.278
"22"	"DDX5"	"P17844"	0.214683470197549	0.949	FALSE	FALSE	0.279	-0.139	0.139
"23"	"DHX9"	"Q08211"	0.19759133934902	0.946	FALSE	FALSE	-0.317	0.158	-0.158
"24"	"EEF1A1"	"P68104"	0.0196494574422485	0.805	FALSE	FALSE	2.58	-1.29	1.29
"25"	"ELAVL1"	"Q15717"	0.483644616832823	0.967	FALSE	FALSE	0.595	-0.297	0.297
"26"	"EPM2A"	"O95278-4"	0.0618379335231938	0.899	FALSE	FALSE	1.34	-0.672	0.672
"27"	"ERH"	"P84090"	0.62873460821952	0.971	FALSE	FALSE	0.453	-0.226	0.226
"28"	"FAU"	"PS01184"	0.0745736968382286	0.909	FALSE	FALSE	-0.35	0.175	-0.175
"29"	"FUS"	"P35637-2"	0.125102833797152	0.931	FALSE	FALSE	1.5	-0.752	0.752
"30"	"G3BP1"	"Q13283"	0.0212096671699299	0.813	FALSE	FALSE	0.818	-0.409	0.409
"31"	"G3BP2"	"Q9UN86-2"	0.0545761367705802	0.891	FALSE	FALSE	0.508	-0.254	0.254
"32"	"H1FX"	"Q92522"	0.0636702855295204	0.9	FALSE	FALSE	1.44	-0.718	0.718
"33"	"H2AFX"	"P16104"	0.727583430948882	0.974	FALSE	FALSE	0.43	-0.215	0.215
"34"	"HDAC6"	"Q9UBN7"	0.0431292679255002	0.876	FALSE	FALSE	1.25	-0.625	0.625
"35"	"HIST1H1B"	"P16401"	0.32709760000832	0.959	FALSE	FALSE	1.11	-0.553	0.553
"36"	"HIST1H1D"	"P16402"	0.475305821238427	0.967	FALSE	FALSE	-0.246	0.123	-0.123
"37"	"HIST1H2BL"	"Q99880"	0.0109189991106078	0.727	FALSE	FALSE	-0.967	0.484	-0.484
"38"	"HIST1H4A"	"P62805"	0.0690688389957005	0.905	FALSE	FALSE	2.08	-1.04	1.04
"39"	"HIST2H2AC"	"Q16777"	0.0322076374145907	0.853	FALSE	FALSE	-0.819	0.41	-0.41
"40"	"HMGA1"	"P17096"	0.0672682524382271	0.903	FALSE	FALSE	-0.698	0.349	-0.349
"41"	"HNRNPA0"	"Q13151"	0.890337005885731	0.977	FALSE	FALSE	-0.0273	0.0136	-0.0136
"42"	"HNRNPA1"	"P09651-3"	0.360750466210674	0.961	FALSE	FALSE	-0.175	0.0875	-0.0875
"43"	"HNRNPA2B1"	"P22626"	0.815237425293828	0.975	FALSE	FALSE	-0.0403	0.0202	-0.0202
"44"	"HNRNPA3"	"P51991"	0.900647869359509	0.977	FALSE	FALSE	-0.0238	0.0119	-0.0119
"45"	"HNRNPAB"	"Q99729-3"	0.326794511158379	0.959	FALSE	FALSE	-0.772	0.386	-0.386
"46"	"HNRNPC"	"P07910-4"	0.0157228283812166	0.778	FALSE	FALSE	-2.31	1.16	-1.16
"47"	"HNRNPD"	"Q14103-3"	0.00888843476131015	0.694	FALSE	FALSE	0.556	-0.278	0.278
"48"	"HNRNPH1"	"P31943"	0.180278709643511	0.944	FALSE	FALSE	1.53	-0.765	0.765
"49"	"HNRNPK"	"P61978-3"	0.519227277840672	0.968	FALSE	FALSE	0.209	-0.104	0.104
"50"	"HNRNPL"	"P14866"	0.57105969527202	0.97	FALSE	FALSE	0.212	-0.106	0.106
"51"	"HNRNPM"	"P52272-2"	0.566813353244037	0.97	FALSE	FALSE	-0.214	0.107	-0.107
"52"	"HNRNPR"	"O43390"	0.496381520814595	0.967	FALSE	FALSE	-0.729	0.364	-0.364
"53"	"HNRNPU"	"Q00839-2"	0.029288731223378	0.845	FALSE	FALSE	-2.07	1.04	-1.04
"54"	"HSPA1B"	"P0DMV9"	0.936794602308849	0.977	FALSE	FALSE	0.0632	-0.0316	0.0316
"55"	"HSPA5"	"P11021"	0.459873010971825	0.966	FALSE	FALSE	0.326	-0.163	0.163
"56"	"HSPA8"	"P11142"	0.943168997535631	0.977	FALSE	FALSE	0.0246	-0.0123	0.0123
"57"	"HSPA9"	"P38646"	0.494109826412993	0.967	FALSE	FALSE	0.482	-0.241	0.241
"58"	"HSPD1"	"P10809"	0.0371810380773499	0.865	FALSE	FALSE	1.62	-0.812	0.812
"59"	"IGF2BP1"	"Q9NZI8"	0.330370774998793	0.959	FALSE	FALSE	0.281	-0.141	0.141
"60"	"IGF2BP2"	"Q9Y6M1-5"	0.237575402630956	0.951	FALSE	FALSE	0.755	-0.378	0.378
"61"	"IGF2BP3"	"O00425"	0.104120574735521	0.924	FALSE	FALSE	0.712	-0.356	0.356
"62"	"ILF2"	"Q12905"	0.162288826083554	0.94	FALSE	FALSE	0.542	-0.271	0.271
"63"	"ILF3"	"Q12906-5"	0.965570758712622	0.978	FALSE	FALSE	-0.0115	0.00574	-0.00574
"64"	"JUP"	"P14923"	0.647556925829107	0.972	FALSE	FALSE	0.597	-0.298	0.298
"65"	"K1M1_SHEEP"	"K1M1_SHEEP"	0.624211214388148	0.971	FALSE	FALSE	1.34	-0.672	0.672
"66"	"K2M1_SHEEP"	"K2M1_SHEEP"	0.670894812436413	0.972	FALSE	FALSE	0.855	-0.428	0.428
"67"	"K2M2_SHEEP"	"K2M2_SHEEP"	0.694998908308428	0.973	FALSE	FALSE	0.944	-0.472	0.472
"68"	"KHDRBS1"	"Q07666"	0.593269616212649	0.97	FALSE	FALSE	0.169	-0.0843	0.0843
"69"	"LANCL1"	"O43813"	0.833434903392486	0.976	FALSE	FALSE	0.184	-0.0921	0.0921
"70"	"MATR3"	"P43243"	0.00132080444474668	0.286	FALSE	FALSE	-1.04	0.521	-0.521
"71"	"MCM5"	"P33992"	0.876637367057568	0.976	FALSE	FALSE	0.151	-0.0754	0.0754
"72"	"MRPS23"	"Q9Y3D9"	0.129009017181179	0.933	FALSE	FALSE	1.25	-0.627	0.627
"73"	"MRPS28"	"Q9Y2Q9"	0.935533556195919	0.977	FALSE	FALSE	0.0694	-0.0347	0.0347
"74"	"MRPS31"	"Q92665"	0.0424914130265273	0.875	FALSE	FALSE	1.18	-0.589	0.589
"75"	"MRPS7"	"Q9Y2R9"	0.236918024201738	0.951	FALSE	FALSE	0.771	-0.385	0.385
"76"	"MRPS9"	"P82933"	0.598436362542283	0.971	FALSE	FALSE	0.419	-0.21	0.21
"77"	"MVB12A"	"Q96EY5"	0.388003957290156	0.963	FALSE	FALSE	0.781	-0.39	0.39
"78"	"MYH14"	"Q7Z406"	0.0363736086636042	0.863	FALSE	FALSE	-2.03	1.01	-1.01
"79"	"MYH9"	"P35579"	0.239002135555649	0.952	FALSE	FALSE	-2.28	1.14	-1.14
"80"	"MYL12A"	"P19105"	0.151715239469785	0.938	FALSE	FALSE	1.92	-0.96	0.96
"81"	"MYL6"	"P60660-2"	0.684498084617912	0.973	FALSE	FALSE	0.402	-0.201	0.201
"82"	"NAP1L1"	"P55209-3"	0.03900047788789	0.868	FALSE	FALSE	1.54	-0.769	0.769
"83"	"NONO"	"Q15233"	0.0481872905877346	0.883	FALSE	FALSE	0.533	-0.266	0.266
"84"	"NPM1"	"P06748-2"	0.140613718595832	0.936	FALSE	FALSE	-0.742	0.371	-0.371
"85"	"NUDT21"	"O43809"	0.755782295519095	0.974	FALSE	FALSE	-0.0694	0.0347	-0.0347
"86"	"PABPC1"	"P11940"	0.621031428172345	0.971	FALSE	FALSE	0.0945	-0.0472	0.0472
"87"	"PABPC4"	"Q13310-3"	0.464130835801493	0.966	FALSE	FALSE	-0.283	0.141	-0.141
"88"	"PL02424"	"PL02424"	0.970184026211915	0.978	FALSE	FALSE	-0.0432	0.0216	-0.0216
"89"	"PPIB"	"P23284"	0.0081006070263963	0.678	FALSE	FALSE	1.78	-0.889	0.889
"90"	"PPP1CA"	"P62136"	0.149151723924198	0.938	FALSE	FALSE	1.09	-0.546	0.546
"91"	"PRMT1"	"Q99873-3"	0.724413805112412	0.974	FALSE	FALSE	0.209	-0.105	0.105
"92"	"PSPC1"	"Q8WXF1"	0.0351984737262391	0.86	FALSE	FALSE	2.76	-1.38	1.38
"93"	"PTBP1"	"P26599"	0.457754251413527	0.966	FALSE	FALSE	-0.872	0.436	-0.436
"94"	"PTBP3"	"O95758-1"	0.527975075382506	0.968	FALSE	FALSE	-0.249	0.124	-0.124
