"name"	"ID"	"X16KI_harsh_vs_parental_harsh_p.val"	"X16KI_harsh_vs_parental_harsh_p.adj"	"significant"	"X16KI_harsh_vs_parental_harsh_significant"	"X16KI_harsh_vs_parental_harsh_ratio"	"parental_harsh_centered"	"X16KI_harsh_centered"
"1"	"ACTG1"	"P63261"	0.02459800732026	1	FALSE	FALSE	0.361	-0.181	0.181
"2"	"CAPZA1"	"P52907"	0.00151583385223696	1	FALSE	FALSE	-1.97	0.985	-0.985
"3"	"EPM2A"	"O95278-4"	4.99042355842658e-07	1	FALSE	FALSE	-3.44	1.72	-1.72
"4"	"FAU"	"PS01184"	0.041293121911176	1	FALSE	FALSE	-2.97	1.49	-1.49
"5"	"HIST1H1D"	"P16402"	8.26560628163456e-07	1	FALSE	FALSE	3.6	-1.8	1.8
"6"	"HIST1H2BL"	"Q99880"	0.664131347998752	1	FALSE	FALSE	0.0813	-0.0407	0.0407
"7"	"HIST2H2AC"	"Q16777"	0.476159133397352	1	FALSE	FALSE	1.04	-0.518	0.518
"8"	"HNRNPA1"	"P09651-3"	0.000220068087587917	1	FALSE	FALSE	5.24	-2.62	2.62
"9"	"HNRNPA2B1"	"P22626"	1.78337321366093e-09	1	FALSE	FALSE	6.5	-3.25	3.25
"10"	"HNRNPA3"	"P51991"	6.68537867526499e-07	1	FALSE	FALSE	2.48	-1.24	1.24
"11"	"HNRNPC"	"P07910-4"	3.29060271954057e-06	1	FALSE	FALSE	2.18	-1.09	1.09
"12"	"HSPA8"	"P11142"	0.0523538000479529	1	FALSE	FALSE	-1.56	0.78	-0.78
"13"	"K1M1_SHEEP"	"K1M1_SHEEP"	0.000422663023247435	1	FALSE	FALSE	-3.03	1.52	-1.52
"14"	"KHDRBS1"	"Q07666"	0.000780111628958751	1	FALSE	FALSE	-1.64	0.82	-0.82
"15"	"MATR3"	"P43243"	1.29453071461324e-07	1	FALSE	FALSE	-2.71	1.35	-1.35
"16"	"MYH10"	"P35580"	2.35107246636684e-06	1	FALSE	FALSE	3.09	-1.55	1.55
"17"	"MYH9"	"P35579"	1.259115269951e-06	1	FALSE	FALSE	2.79	-1.39	1.39
"18"	"NPM1"	"P06748-2"	4.30331691663984e-09	1	FALSE	FALSE	5.76	-2.88	2.88
"19"	"NUDT21"	"O43809"	3.41645428395702e-06	1	FALSE	FALSE	-2.62	1.31	-1.31
"20"	"PABPC1"	"P11940"	1.09646939692548e-05	1	FALSE	FALSE	-3.18	1.59	-1.59
"21"	"PABPC4"	"Q13310-3"	5.05933388651018e-06	1	FALSE	FALSE	-2.96	1.48	-1.48
"22"	"PUF60"	"Q9UHX1-6"	0.00230063014520816	1	FALSE	FALSE	-2.19	1.09	-1.09
"23"	"RBMX"	"P38159"	4.04670757427201e-07	1	FALSE	FALSE	3.82	-1.91	1.91
"24"	"RPL12"	"P30050"	0.000276336330799855	1	FALSE	FALSE	-2.95	1.47	-1.47
"25"	"RPL13A"	"P40429"	2.72142747130738e-06	1	FALSE	FALSE	-1.78	0.888	-0.888
"26"	"RPL14"	"P50914"	1.41182298192509e-06	1	FALSE	FALSE	-1.93	0.964	-0.964
"27"	"RPLP0"	"P05388"	0.000492370718761912	1	FALSE	FALSE	-2.86	1.43	-1.43
"28"	"RPS14"	"P62263"	0.0117274442956741	1	FALSE	FALSE	-1.56	0.782	-0.782
"29"	"RPS3"	"P23396"	1.01203361780961e-08	1	FALSE	FALSE	-3.96	1.98	-1.98
"30"	"SNRPA1"	"P09661"	0.000687706528293023	1	FALSE	FALSE	-5.61	2.81	-2.81
"31"	"TUBA1B"	"P68363"	6.16446877501379e-05	1	FALSE	FALSE	-2.54	1.27	-1.27
"32"	"TUBB"	"P07437"	1.16134649405317e-05	1	FALSE	FALSE	-4.62	2.31	-2.31
"33"	"TUBB4B"	"P68371"	1.73743707658863e-06	1	FALSE	FALSE	-2.41	1.21	-1.21
"34"	"VIM"	"P08670"	1.07877200328789e-05	1	FALSE	FALSE	3.97	-1.99	1.99
"35"	"YBX1"	"P67809"	0.000901871475062479	1	FALSE	FALSE	-3.1	1.55	-1.55
