"name"	"ID"	"X16KI_vs_parental_p.val"	"X16KI_vs_parental_p.adj"	"significant"	"X16KI_vs_parental_significant"	"X16KI_vs_parental_ratio"	"parental_centered"	"X16KI_centered"
"1"	"DS16_GFP"	"DS16_GFP"	2.79212339868487e-08	1.67e-09	TRUE	TRUE	6.07	-3.03	3.03
"2"	"HNRNPD"	"Q14103-3"	5.34512638242828e-05	0.0146	TRUE	TRUE	0.983	-0.491	0.491
"3"	"MIF"	"P14174"	8.19367766910112e-06	0.00199	TRUE	TRUE	1.34	-0.668	0.668
"4"	"RPL30"	"P62888"	5.78102248138186e-05	0.0153	TRUE	TRUE	-1.05	0.526	-0.526
"5"	"RPS3A"	"P61247"	0.000145410961490713	0.0345	TRUE	TRUE	0.837	-0.419	0.419
"6"	"ACTG1"	"P63261"	0.980442604942824	0.517	FALSE	FALSE	0.00982	-0.00491	0.00491
"7"	"ALYREF"	"Q86V81"	0.863514826782444	0.5	FALSE	FALSE	-0.0588	0.0294	-0.0294
"8"	"AP2B1"	"P63010-3"	0.0339129740083403	0.233	FALSE	FALSE	0.803	-0.402	0.402
"9"	"ATXN2L"	"Q8WWM7"	0.0204572907552452	0.211	FALSE	FALSE	1.29	-0.645	0.645
"10"	"CAPZA1"	"P52907"	0.0190277852054874	0.208	FALSE	FALSE	0.568	-0.284	0.284
"11"	"DAP3"	"P51398-2"	0.000602317208119413	0.0785	FALSE	FALSE	1.39	-0.694	0.694
"12"	"DDX1"	"Q92499-3"	0.00822305053599643	0.176	FALSE	FALSE	0.686	-0.343	0.343
"13"	"DDX17"	"Q92841-1"	0.500502364495001	0.433	FALSE	FALSE	0.191	-0.0957	0.0957
"14"	"DDX3X"	"O00571"	0.00124693944525765	0.0981	FALSE	FALSE	0.983	-0.492	0.492
"15"	"DDX5"	"P17844"	0.00226529149319786	0.118	FALSE	FALSE	0.705	-0.353	0.353
"16"	"DHX9"	"Q08211"	0.652817866571794	0.464	FALSE	FALSE	0.11	-0.055	0.055
"17"	"ELAVL1"	"Q15717"	0.188308216408624	0.327	FALSE	FALSE	0.639	-0.32	0.32
"18"	"EPM2A"	"O95278-4"	0.00203079193262149	0.114	FALSE	FALSE	1.38	-0.688	0.688
"19"	"FAU"	"PS01184"	0.506899583496714	0.434	FALSE	FALSE	0.0771	-0.0386	0.0386
"20"	"FUS"	"P35637-2"	0.013057604140793	0.195	FALSE	FALSE	1.55	-0.774	0.774
"21"	"G3BP1"	"Q13283"	0.0013648090110554	0.1	FALSE	FALSE	1.24	-0.622	0.622
"22"	"G3BP2"	"Q9UN86-2"	0.00304286144450822	0.129	FALSE	FALSE	0.935	-0.468	0.468
"23"	"H1FX"	"Q92522"	0.00137954933298365	0.1	FALSE	FALSE	1.07	-0.537	0.537
"24"	"HIST1H1D"	"P16402"	0.523059902729024	0.438	FALSE	FALSE	0.181	-0.0904	0.0904
"25"	"HIST1H2BL"	"Q99880"	0.103060297764266	0.274	FALSE	FALSE	-0.541	0.27	-0.27
"26"	"HIST1H4A"	"P62805"	0.0204480441216315	0.211	FALSE	FALSE	1.73	-0.866	0.866
"27"	"HIST2H2AC"	"Q16777"	0.28224212891275	0.369	FALSE	FALSE	-0.393	0.196	-0.196
"28"	"HMGA1"	"P17096"	0.345016318707756	0.391	FALSE	FALSE	-0.271	0.135	-0.135
"29"	"HNRNPA0"	"Q13151"	0.0678269350544216	0.26	FALSE	FALSE	0.399	-0.2	0.2
"30"	"HNRNPA1"	"P09651-3"	0.219239268799248	0.343	FALSE	FALSE	0.252	-0.126	0.126
"31"	"HNRNPA2B1"	"P22626"	0.030041775560445	0.228	FALSE	FALSE	0.386	-0.193	0.193
"32"	"HNRNPA3"	"P51991"	0.0637729511016248	0.257	FALSE	FALSE	0.403	-0.202	0.202
"33"	"HNRNPAB"	"Q99729-3"	0.976976869522152	0.516	FALSE	FALSE	-0.0143	0.00717	-0.00717
"34"	"HNRNPK"	"P61978-3"	0.0760459943359157	0.263	FALSE	FALSE	0.636	-0.318	0.318
"35"	"HNRNPL"	"P14866"	0.0625627149626782	0.257	FALSE	FALSE	0.639	-0.32	0.32
"36"	"HNRNPM"	"P52272-2"	0.605211280105651	0.455	FALSE	FALSE	0.212	-0.106	0.106
"37"	"HNRNPU"	"Q00839-2"	0.108107831611893	0.276	FALSE	FALSE	-0.787	0.394	-0.394
"38"	"HSPA5"	"P11021"	0.0668744374381624	0.259	FALSE	FALSE	0.753	-0.377	0.377
"39"	"HSPA8"	"P11142"	0.131297692795461	0.291	FALSE	FALSE	0.451	-0.226	0.226
"40"	"IGF2BP1"	"Q9NZI8"	0.0213659522078559	0.212	FALSE	FALSE	0.708	-0.354	0.354
"41"	"IGF2BP3"	"O00425"	0.0154845624149283	0.201	FALSE	FALSE	1.14	-0.57	0.57
"42"	"ILF2"	"Q12905"	0.0260377770325854	0.221	FALSE	FALSE	0.969	-0.485	0.485
"43"	"ILF3"	"Q12906-5"	0.0840961715135877	0.267	FALSE	FALSE	0.415	-0.208	0.208
"44"	"KHDRBS1"	"Q07666"	0.0828552613126173	0.266	FALSE	FALSE	0.595	-0.298	0.298
"45"	"MATR3"	"P43243"	0.00502198433233246	0.153	FALSE	FALSE	-0.615	0.307	-0.307
"46"	"MRPS23"	"Q9Y3D9"	0.0142070080072303	0.198	FALSE	FALSE	0.899	-0.45	0.45
"47"	"MYH9"	"P35579"	0.342584433638697	0.39	FALSE	FALSE	-1.55	0.777	-0.777
"48"	"NONO"	"Q15233"	0.00280817076683012	0.126	FALSE	FALSE	0.96	-0.48	0.48
"49"	"NPM1"	"P06748-2"	0.535716122384558	0.441	FALSE	FALSE	-0.315	0.157	-0.157
"50"	"NUDT21"	"O43809"	0.0886039452183025	0.269	FALSE	FALSE	0.357	-0.179	0.179
"51"	"PABPC1"	"P11940"	0.00462430746184106	0.149	FALSE	FALSE	0.521	-0.261	0.261
"52"	"PABPC4"	"Q13310-3"	0.69703307574703	0.472	FALSE	FALSE	0.144	-0.072	0.072
"53"	"PTBP1"	"P26599"	0.930301006106816	0.509	FALSE	FALSE	-0.0753	0.0377	-0.0377
"54"	"PTBP3"	"O95758-1"	0.671112873273938	0.468	FALSE	FALSE	0.178	-0.089	0.089
"55"	"PUF60"	"Q9UHX1-6"	0.0177253134745735	0.206	FALSE	FALSE	0.841	-0.421	0.421
"56"	"RBM14"	"Q96PK6"	0.0105949262534371	0.187	FALSE	FALSE	0.886	-0.443	0.443
"57"	"RBMX"	"P38159"	0.326800658930295	0.385	FALSE	FALSE	-0.291	0.146	-0.146
"58"	"RPL10A"	"P62906"	0.248180360503707	0.356	FALSE	FALSE	0.755	-0.377	0.377
"59"	"RPL12"	"P30050"	0.0462344035854681	0.245	FALSE	FALSE	0.44	-0.22	0.22
