"name"	"ID"	"X16KI_vs_parental_p.val"	"X16KI_vs_parental_p.adj"	"significant"	"X16KI_vs_parental_significant"	"X16KI_vs_parental_ratio"	"parental_centered"	"X16KI_centered"
"1"	"DS16_GFP"	"DS16_GFP"	9.16598991379054e-09	1.77e-14	TRUE	TRUE	6.09	-3.04	3.04
"2"	"MATR3"	"P43243"	0.000426385054649568	0.013	TRUE	TRUE	-1.03	0.517	-0.517
"3"	"MIF"	"P14174"	4.77747514213123e-06	2.54e-06	TRUE	TRUE	1.28	-0.638	0.638
"4"	"RPL30"	"P62888"	6.23961051908458e-06	3.65e-06	TRUE	TRUE	-1.47	0.734	-0.734
"5"	"SNRPA1"	"P09661"	7.75113047081585e-06	4.97e-06	TRUE	TRUE	-1.28	0.641	-0.641
"6"	"ACTG1"	"P63261"	0.380438721761286	0.718	FALSE	FALSE	-0.41	0.205	-0.205
"7"	"ALYREF"	"Q86V81"	0.124969046143	0.547	FALSE	FALSE	-0.479	0.239	-0.239
"8"	"AP2B1"	"P63010-3"	0.20887294399949	0.631	FALSE	FALSE	0.539	-0.27	0.27
"9"	"ATXN2L"	"Q8WWM7"	0.0763832097049335	0.459	FALSE	FALSE	0.947	-0.473	0.473
"10"	"CAPZA1"	"P52907"	0.568308566917166	0.768	FALSE	FALSE	0.149	-0.0743	0.0743
"11"	"DAP3"	"P51398-2"	0.00832032579450194	0.196	FALSE	FALSE	1.12	-0.562	0.562
"12"	"DDX1"	"Q92499-3"	0.0862863263744915	0.481	FALSE	FALSE	0.492	-0.246	0.246
"13"	"DDX17"	"Q92841-1"	0.455783562392364	0.741	FALSE	FALSE	-0.214	0.107	-0.107
"14"	"DDX3X"	"O00571"	0.0230725134249335	0.269	FALSE	FALSE	0.563	-0.282	0.282
"15"	"DDX5"	"P17844"	0.137855875245061	0.563	FALSE	FALSE	0.286	-0.143	0.143
"16"	"DHX9"	"Q08211"	0.163927816866663	0.592	FALSE	FALSE	-0.31	0.155	-0.155
"17"	"ELAVL1"	"Q15717"	0.582590316880208	0.771	FALSE	FALSE	0.291	-0.145	0.145
"18"	"EPM2A"	"O95278-4"	0.0152781599096924	0.243	FALSE	FALSE	1.04	-0.52	0.52
"19"	"FAU"	"PS01184"	0.0241874432749214	0.272	FALSE	FALSE	-0.343	0.171	-0.171
"20"	"FUS"	"P35637-2"	0.0677673248162694	0.438	FALSE	FALSE	1.2	-0.6	0.6
"21"	"G3BP1"	"Q13283"	0.0106407721568097	0.216	FALSE	FALSE	0.825	-0.412	0.412
