"name"	"ID"	"cand1_vs_parental_p.val"	"cand11_vs_parental_p.val"	"cand12_vs_parental_p.val"	"cand16_vs_parental_p.val"	"cand19_vs_parental_p.val"	"cand2_vs_parental_p.val"	"GFP_link_vs_parental_p.val"	"cand1_vs_parental_p.adj"	"cand11_vs_parental_p.adj"	"cand12_vs_parental_p.adj"	"cand16_vs_parental_p.adj"	"cand19_vs_parental_p.adj"	"cand2_vs_parental_p.adj"	"GFP_link_vs_parental_p.adj"	"cand1_vs_parental_significant"	"cand11_vs_parental_significant"	"cand12_vs_parental_significant"	"cand16_vs_parental_significant"	"cand19_vs_parental_significant"	"cand2_vs_parental_significant"	"GFP_link_vs_parental_significant"	"significant"	"cand1_vs_parental_ratio"	"cand11_vs_parental_ratio"	"cand12_vs_parental_ratio"	"cand16_vs_parental_ratio"	"cand19_vs_parental_ratio"	"cand2_vs_parental_ratio"	"GFP_link_vs_parental_ratio"	"cand1_centered"	"cand11_centered"	"cand12_centered"	"cand16_centered"	"cand19_centered"	"cand2_centered"	"GFP_link_centered"	"parental_centered"
"1"	"ABHD10"	"Q9NUJ1-2"	0.00823143834727229	0.999999999999972	0.00770270834720136	0.999999999999972	0.999999999999972	0.329226700225288	0.999999999999972	0.72	0.871	0.0021	0.843	0.832	0.516	0.894	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	2.2	-2.84e-14	2.22	-2.84e-14	-2.84e-14	0.784	-2.84e-14	1.55	-0.651	1.57	-0.651	-0.651	0.132	-0.651	-0.651
"2"	"ACTG1"	"P63261"	0.440306566883532	1.15161008381417e-06	0.021087853951663	0.00021428638233394	0.225685156731774	0.0164721039854957	0.00107887103296271	0.867	0.281	0.0102	0.44	0.77	0.0367	0.439	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	0.979	-7.16	-3.01	-5.1	1.55	-3.14	-4.42	3.52	-4.62	-0.475	-2.56	4.09	-0.604	-1.88	2.54
"3"	"ALYREF"	"Q86V81"	0.592559273533508	4.18086857821283e-09	0.00135863123839649	4.18086857821286e-09	0.000104710930317941	0.0632078562963426	4.18086857821283e-09	0.876	0.0882	0.000113	0.0597	0.416	0.151	0.00664	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	-0.506	-6.95	-3.22	-6.95	-4.03	-1.79	-6.95	3.29	-3.15	0.578	-3.15	-0.225	2.01	-3.15	3.8
"4"	"AMD1"	"P17707-2"	0.999999999999968	0.999999999999968	0.999999999999968	0.999999999999968	0.999999999999968	5.19315994388056e-05	0.999999999999968	0.894	0.871	0.739	0.843	0.832	4.19e-05	0.894	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-2.84e-14	-2.84e-14	-2.84e-14	-2.84e-14	-2.84e-14	3.17	-2.84e-14	-0.397	-0.397	-0.397	-0.397	-0.397	2.78	-0.397	-0.397
"5"	"ANKRD54"	"Q6NXT1"	0.999999999999938	0.999999999999938	9.58065496255142e-05	0.999999999999938	0.999999999999938	0.999999999999938	0.999999999999938	0.894	0.871	8.08e-07	0.843	0.832	0.771	0.894	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	-2.84e-14	-2.84e-14	1.59	-2.84e-14	-2.84e-14	-2.84e-14	-2.84e-14	-0.198	-0.198	1.39	-0.198	-0.198	-0.198	-0.198	-0.198
"6"	"ANXA2"	"P07355"	0.921596723060186	0.656980887031798	0.656980887031798	0.656980887031798	2.30645229482053e-26	0.00439039246035243	0.656980887031798	0.891	0.856	0.618	0.825	5.21e-15	0.00935	0.875	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	-0.0378	-0.171	-0.171	-0.171	9.45	1.15	-0.171	-1.27	-1.41	-1.41	-1.41	8.21	-0.0845	-1.41	-1.23
"7"	"AP2B1"	"P63010-3"	0.107684316203382	2.78566490512711e-05	0.0487702760280137	2.78566490512711e-05	2.78566490512711e-05	0.458352709126655	2.78566490512711e-05	0.821	0.441	0.0328	0.33	0.349	0.602	0.17	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	1.44	-4.13	-1.78	-4.13	-4.13	-0.656	-4.13	3.63	-1.94	0.41	-1.94	-1.94	1.53	-1.94	2.19
"8"	"ARF4"	"P18085"	1.35112799919477e-14	0.999999999999944	0.0030783165187692	0.999999999999944	0.999999999999944	0.999999999999944	0.999999999999944	0.000164	0.871	0.000445	0.843	0.832	0.771	0.894	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	4.71	-2.84e-14	1.27	-2.84e-14	-2.84e-14	-2.84e-14	-2.84e-14	3.96	-0.748	0.526	-0.748	-0.748	-0.748	-0.748	-0.748
"9"	"ATAD3A"	"Q9NVI7-2"	0.999999999999961	2.05905186252628e-16	0.000110113220009753	0.999999999999961	0.999999999999961	0.999999999999961	0.999999999999961	0.894	0.00041	1.02e-06	0.843	0.832	0.771	0.894	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	-2.84e-14	7.68	2.48	-2.84e-14	-2.84e-14	-2.84e-14	-2.84e-14	-1.27	6.41	1.21	-1.27	-1.27	-1.27	-1.27	-1.27
"10"	"ATP5A1"	"P25705-2"	0.000446409866248712	0.159219587109421	0.0630293491157518	0.159219587109421	0.159219587109421	0.894059118332354	0.159219587109421	0.572	0.811	0.0466	0.766	0.756	0.751	0.807	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	2.8	-1.05	1.4	-1.05	-1.05	0.0982	-1.05	2.78	-1.06	1.39	-1.06	-1.06	0.0866	-1.06	-0.0116
"11"	"ATXN2L"	"Q8WWM7"	1.55860692056292e-13	6.46929719693662e-15	6.46929719693674e-15	6.46929719693662e-15	2.24943384768702e-13	6.46929719693674e-15	6.46929719693662e-15	0.000617	0.0017	1.02e-14	0.000499	0.00327	5.9e-15	5.74e-07	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	-4.76	-5.27	-5.27	-5.27	-4.7	-5.27	-5.27	-0.285	-0.793	-0.793	-0.793	-0.228	-0.793	-0.793	4.48
"12"	"BUB3"	"O43684-2"	0.27096516410221	0.0153292150236273	0.0582697678246339	0.0153292150236273	0.317315861782186	0.0765461572950064	0.0800330667516101	0.851	0.73	0.0419	0.663	0.784	0.181	0.768	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	-0.898	-2.04	-1.57	-2.04	0.815	-1.46	-1.44	0.181	-0.957	-0.489	-0.957	1.89	-0.383	-0.366	1.08
"13"	"C11orf98"	"PL02612"	0.00548858235485432	4.34537117766385e-05	0.0315201873873882	4.34537117766385e-05	4.34537117766385e-05	0.00536428026153627	4.3453711776638e-05	0.702	0.464	0.0176	0.353	0.371	0.0116	0.195	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	-2.16	-3.37	-1.64	-3.37	-3.37	-2.17	-3.37	0.271	-0.939	0.79	-0.939	-0.939	0.264	-0.939	2.43
"14"	"CAD"	"P27708"	1.39284844288672e-12	0.999999999999941	0.999999999999941	0.999999999999941	0.999999999999941	0.999999999999941	0.999999999999941	0.0019	0.871	0.739	0.843	0.832	0.771	0.894	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	3.82	-2.84e-14	-2.84e-14	-2.84e-14	-2.84e-14	-2.84e-14	-2.84e-14	3.34	-0.477	-0.477	-0.477	-0.477	-0.477	-0.477	-0.477
"15"	"CAPRIN1"	"Q14444-2"	0.0210442356607707	7.55727584660059e-09	0.00246716388291664	7.55727584660059e-09	7.55727584660059e-09	4.21921978161028e-05	7.55727584660059e-09	0.76	0.0996	0.000315	0.0685	0.0799	3.16e-05	0.00821	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	-1.73	-5.21	-2.32	-5.21	-5.21	-3.3	-5.21	1.79	-1.68	1.2	-1.68	-1.68	0.223	-1.68	3.52
"16"	"CAPZA1"	"P52907"	0.44464710641171	1.41062585156585e-06	0.277289637479284	1.41062585156585e-06	0.483466947282356	0.0155416908942273	0.00286660386141277	0.867	0.291	0.317	0.19	0.801	0.0347	0.522	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-0.694	-5.07	-0.99	-5.07	0.636	-2.27	-2.85	1.34	-3.03	1.05	-3.03	2.67	-0.232	-0.814	2.04
"17"	"CCT3"	"P49368-2"	0.000168934605921174	0.999999999999983	0.0194658839088412	0.999999999999983	0.0316270700862122	0.0875205242122892	0.999999999999983	0.516	0.871	0.00904	0.843	0.69	0.204	0.894	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	3.34	-1.78e-14	1.96	-1.78e-14	1.8	1.41	-1.78e-14	2.28	-1.06	0.9	-1.06	0.733	0.349	-1.06	-1.06
"18"	"CCT6A"	"P40227-2"	0.0065815737840726	0.999999999999974	0.999999999999974	0.999999999999974	0.372735286385529	0.00654862110342859	0.999999999999974	0.71	0.871	0.739	0.843	0.79	0.0143	0.894	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	2.21	-2.49e-14	-2.49e-14	-2.49e-14	0.696	2.21	-2.49e-14	1.57	-0.64	-0.64	-0.64	0.0561	1.57	-0.64	-0.64
