"name"	"ID"	"cand1_vs_parental_p.val"	"cand11_vs_parental_p.val"	"cand12_vs_parental_p.val"	"cand16_vs_parental_p.val"	"cand19_vs_parental_p.val"	"cand2_vs_parental_p.val"	"GFP_link_vs_parental_p.val"	"cand1_vs_parental_p.adj"	"cand11_vs_parental_p.adj"	"cand12_vs_parental_p.adj"	"cand16_vs_parental_p.adj"	"cand19_vs_parental_p.adj"	"cand2_vs_parental_p.adj"	"GFP_link_vs_parental_p.adj"	"cand1_vs_parental_significant"	"cand11_vs_parental_significant"	"cand12_vs_parental_significant"	"cand16_vs_parental_significant"	"cand19_vs_parental_significant"	"cand2_vs_parental_significant"	"GFP_link_vs_parental_significant"	"significant"	"cand1_vs_parental_ratio"	"cand11_vs_parental_ratio"	"cand12_vs_parental_ratio"	"cand16_vs_parental_ratio"	"cand19_vs_parental_ratio"	"cand2_vs_parental_ratio"	"GFP_link_vs_parental_ratio"	"cand1_centered"	"cand11_centered"	"cand12_centered"	"cand16_centered"	"cand19_centered"	"cand2_centered"	"GFP_link_centered"	"parental_centered"
"1"	"ABHD10"	"Q9NUJ1-2"	0.00738715042464132	1	0.00846705634603075	1	1	0.335604104000049	1	0.672	0.855	0.00134	0.863	0.836	0.602	0.87	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	2.07	0	2.03	0	0	0.716	0	1.47	-0.602	1.43	-0.602	-0.602	0.114	-0.602	-0.602
"2"	"ACTG1"	"P63261"	0.472498641110844	3.54715031749625e-06	0.0294012205734756	0.00380338004572281	0.0787822843177912	0.0194076267331441	0.00180814248532157	0.859	0.204	0.0112	0.603	0.728	0.0919	0.332	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.935	-6.9	-2.91	-3.96	2.32	-3.14	-4.3	3.18	-4.66	-0.667	-1.71	4.57	-0.894	-2.06	2.24
"3"	"ALYREF"	"Q86V81"	0.570372351430328	1.82813832556131e-08	0.0023487956618172	1.82813832556129e-08	0.000599819399460618	0.0584604965589499	1.82813832556131e-08	0.866	0.0554	0.000132	0.0607	0.494	0.229	0.00276	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	-0.55	-6.69	-3.12	-6.69	-3.58	-1.87	-6.69	3.1	-3.04	0.531	-3.04	0.0745	1.78	-3.04	3.65
"4"	"AMD1"	"P17707-2"	0.999999999999996	0.999999999999996	0.999999999999996	0.999999999999996	0.999999999999996	5.24525386126664e-05	0.999999999999996	0.887	0.855	0.738	0.863	0.836	0.000281	0.87	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	3.55e-15	3.55e-15	3.55e-15	3.55e-15	3.55e-15	2.97	3.55e-15	-0.372	-0.372	-0.372	-0.372	-0.372	2.6	-0.372	-0.372
"5"	"ANKRD54"	"Q6NXT1"	0.999999999999991	0.999999999999991	8.347851058827e-05	0.999999999999991	0.999999999999991	0.999999999999991	0.999999999999991	0.887	0.855	1.46e-07	0.863	0.836	0.804	0.87	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	3.55e-15	3.55e-15	1.4	3.55e-15	3.55e-15	3.55e-15	3.55e-15	-0.175	-0.175	1.22	-0.175	-0.175	-0.175	-0.175	-0.175
"6"	"ANXA2"	"P07355"	0.916967397823538	0.708451812511756	0.708451812511756	0.708451812511756	2.34714083583701e-28	0.00888436767674679	0.708451812511756	0.884	0.84	0.635	0.848	4.79e-15	0.044	0.849	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	-0.0377	-0.135	-0.135	-0.135	10	0.986	-0.135	-1.34	-1.44	-1.44	-1.44	8.7	-0.315	-1.44	-1.3
"7"	"AP2B1"	"P63010-3"	0.106868631843807	2.75871317063042e-05	0.0479114728533318	2.75871317063042e-05	2.75871317063042e-05	0.4145088978523	2.75871317063042e-05	0.801	0.307	0.0242	0.311	0.332	0.647	0.0784	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	1.36	-3.9	-1.69	-3.9	-3.9	-0.682	-3.9	3.44	-1.83	0.39	-1.83	-1.83	1.39	-1.83	2.08
"8"	"ARF4"	"P18085"	3.3278940085097e-14	1	0.00311216182801025	1	1	1	1	5.91e-05	0.855	0.000217	0.863	0.836	0.804	0.87	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	4.41	0	1.22	0	0	0	0	3.7	-0.704	0.52	-0.704	-0.704	-0.704	-0.704	-0.704
"9"	"ATAD3A"	"Q9NVI7-2"	0.999999999999995	2.70551819046496e-19	0.000103918298071506	0.999999999999995	0.999999999999995	0.999999999999995	0.999999999999995	0.887	9.84e-08	2.15e-07	0.863	0.836	0.804	0.87	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	3.55e-15	9.01	2.42	3.55e-15	3.55e-15	3.55e-15	3.55e-15	-1.43	7.58	0.988	-1.43	-1.43	-1.43	-1.43	-1.43
"10"	"ATP5A1"	"P25705-2"	0.000401695357433357	0.15589203645223	0.0631115582840444	0.15589203645223	0.15589203645223	0.956104646206422	0.15589203645223	0.494	0.776	0.0363	0.785	0.757	0.797	0.746	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	2.61	-0.979	1.29	-0.979	-0.979	0.0375	-0.979	2.6	-0.982	1.29	-0.982	-0.982	0.0345	-0.982	-0.00301
