"name"	"ID"	"cand16_harsh_vs_cand16_pbs_p.val"	"cand16_harsh_vs_parental_harsh_p.val"	"cand16_harsh_vs_parental_pbs_p.val"	"cand16_pbs_vs_parental_harsh_p.val"	"cand16_pbs_vs_parental_pbs_p.val"	"parental_harsh_vs_parental_pbs_p.val"	"cand16_harsh_vs_cand16_pbs_p.adj"	"cand16_harsh_vs_parental_harsh_p.adj"	"cand16_harsh_vs_parental_pbs_p.adj"	"cand16_pbs_vs_parental_harsh_p.adj"	"cand16_pbs_vs_parental_pbs_p.adj"	"parental_harsh_vs_parental_pbs_p.adj"	"cand16_harsh_vs_cand16_pbs_significant"	"cand16_harsh_vs_parental_harsh_significant"	"cand16_harsh_vs_parental_pbs_significant"	"cand16_pbs_vs_parental_harsh_significant"	"cand16_pbs_vs_parental_pbs_significant"	"parental_harsh_vs_parental_pbs_significant"	"significant"	"cand16_harsh_vs_cand16_pbs_ratio"	"cand16_harsh_vs_parental_harsh_ratio"	"cand16_harsh_vs_parental_pbs_ratio"	"cand16_pbs_vs_parental_harsh_ratio"	"cand16_pbs_vs_parental_pbs_ratio"	"parental_harsh_vs_parental_pbs_ratio"	"cand16_harsh_centered"	"cand16_pbs_centered"	"parental_harsh_centered"	"parental_pbs_centered"
"1"	"ABHD10"	"Q9NUJ1"	0.00178516622442535	0.844033082774734	0.0605868904578977	0.00119834038079724	0.0947665355175095	0.0416594821671688	0.46	0.862	0.714	1	0.0245	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-3.32	0.174	-1.77	3.49	1.55	-1.94	-1.23	2.09	-1.4	0.539
"2"	"APOA1BP"	"Q8NCW5"	0.16525309245435	0.432145425040898	0.00635482770088365	0.0391035857197075	0.104980535857931	0.00125927171274189	0.88	0.766	0.482	1	0.0296	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	1.56	-0.863	3.41	-2.43	1.85	4.27	1.03	-0.535	1.89	-2.38
"3"	"ATAD3A"	"Q9NVI7-2"	0.0102150477747448	0.126223546520396	0.000100835640513154	0.00040530354043809	0.0328971852141514	6.08237559079865e-06	0.683	0.48	0.114	1	0.00181	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	2.58	-1.42	4.64	-4	2.06	6.06	1.45	-1.13	2.87	-3.19
"4"	"ATP5A1"	"P25705"	0.399154496805769	0.522639632011704	0.00659886356934757	0.149193452092933	0.0366056835147723	0.00177236363645101	0.913	0.798	0.487	1	0.00238	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	0.888	-0.67	3.24	-1.56	2.36	3.91	0.865	-0.0225	1.53	-2.38
"5"	"ATP5C1"	"P36542"	0.370576476084091	0.70185523450983	0.0240601893006887	0.209176459886561	0.13181930891096	0.0111275268741465	0.911	0.84	0.63	1	0.0444	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	0.881	-0.372	2.4	-1.25	1.52	2.78	0.728	-0.153	1.1	-1.68
"6"	"COPE"	"O14579"	0.005017391883508	0.999999999999998	0.11585993088452	0.00501739188350797	0.123440275880595	0.115859930884519	0.601	0.88	0.763	1	0.0398	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-4.07	3.55e-15	-2.06	4.07	2.01	-2.06	-1.53	2.54	-1.53	0.526
"7"	"DCD"	"P81605"	0.113449513721543	0.246036940390899	0.146123733000554	0.0115259601342988	0.00598530987361026	0.748167930034554	0.863	0.651	0.779	1	8.43e-06	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-1.85	1.33	1.68	3.17	3.53	0.359	0.291	2.14	-1.04	-1.39
"8"	"DHX9"	"Q08211"	0.00303666985920213	0.999999999999997	0.422916239532116	0.0030366698592021	0.0158330643872356	0.422916239532114	0.535	0.88	0.842	1	0.000227	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	-3.4	3.55e-15	-0.788	3.4	2.61	-0.788	-1.05	2.35	-1.05	-0.259
"9"	"DNAJA2"	"O60884"	0.44005110145017	0.71997463370975	0.03256013454357	0.674632825225294	0.137732227197389	0.0647511362403331	0.916	0.843	0.659	1	0.0475	1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	0.424	0.195	1.26	-0.229	0.839	1.07	0.471	0.0467	0.275	-0.793
"10"	"DNAJC10"	"Q8IXB1"	0.0574359525427389	0.00274031854708397	0.00498278033017554	5.23911144848026e-05	0.231940327268447	6.23133740539547e-06	0.826	0.00835	0.455	1	0.111	1	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	1.78	-3.11	2.85	-4.89	1.07	5.96	0.381	-1.4	3.49	-2.47
