"name"	"ID"	"cand1_vs_Ctrl_p.val"	"cand11_vs_Ctrl_p.val"	"cand12_vs_Ctrl_p.val"	"cand19_vs_Ctrl_p.val"	"MMP24OS_vs_Ctrl_p.val"	"cand1_vs_Ctrl_p.adj"	"cand11_vs_Ctrl_p.adj"	"cand12_vs_Ctrl_p.adj"	"cand19_vs_Ctrl_p.adj"	"MMP24OS_vs_Ctrl_p.adj"	"cand1_vs_Ctrl_significant"	"cand11_vs_Ctrl_significant"	"cand12_vs_Ctrl_significant"	"cand19_vs_Ctrl_significant"	"MMP24OS_vs_Ctrl_significant"	"significant"	"cand1_vs_Ctrl_ratio"	"cand11_vs_Ctrl_ratio"	"cand12_vs_Ctrl_ratio"	"cand19_vs_Ctrl_ratio"	"MMP24OS_vs_Ctrl_ratio"	"cand1_centered"	"cand11_centered"	"cand12_centered"	"cand19_centered"	"Ctrl_centered"	"MMP24OS_centered"
"1"	">MMP24OS"	">MMP24OS"	0.0011748355869735	0.999999999999991	0.999999999999991	0.999999999999991	6.8993118042433e-25	0.0277	0.837	0.664	0.774	1.62e-11	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	2.18	-7.11e-15	-7.11e-15	-7.11e-15	18.6	-1.28	-3.46	-3.46	-3.46	-3.46	15.1
"2"	"AAR2"	"Q9Y312"	0.000525182662959056	0.315843610205618	0.0715333669375277	0.0715333669375277	0.00025946111055385	0.0145	0.752	0.0824	0.568	0.704	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	4.88	1.29	-2.36	-2.36	5.2	3.77	0.179	-3.47	-3.47	-1.11	4.09
"3"	"ABCD3"	"P28288"	0.999999999999948	0.999999999999948	0.999999999999948	0.999999999999948	2.11971361988469e-28	0.839	0.837	0.664	0.774	3.74e-15	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	-1.42e-14	-1.42e-14	-1.42e-14	-1.42e-14	8.51	-1.42	-1.42	-1.42	-1.42	-1.42	7.09
"4"	"ABHD10"	"Q9NUJ1"	0.583781550126032	0.832722859133506	0.287018734403375	1.66864614181617e-06	0.918174624734666	0.775	0.824	0.31	0.0252	0.874	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	0.654	0.252	-1.28	-6.94	-0.122	1.89	1.49	-0.0401	-5.7	1.24	1.12
"5"	"ACSL3"	"O95573"	0.999999999999992	0.999999999999992	0.999999999999992	0.102421315804793	8.36495361969092e-15	0.839	0.837	0.664	0.597	0.0127	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	-7.11e-15	-7.11e-15	-7.11e-15	1.18	9.6	-1.8	-1.8	-1.8	-0.619	-1.8	7.81
"6"	"ACTG1"	"P63261"	0.663883570378163	0.0202589103013369	0.741477774835762	9.03083688929848e-09	6.43649265725235e-06	0.791	0.506	0.584	0.00213	0.594	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	0.115	0.639	0.087	2.02	1.41	-0.598	-0.0736	-0.626	1.31	-0.713	0.7
"7"	"ACTL6A"	"O96019"	0.660268443666877	0.772531099773198	0.0233697279674113	0.00024955140801393	0.711304976557155	0.791	0.818	0.0256	0.157	0.868	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	0.618	0.406	-3.32	-5.75	0.52	1.87	1.66	-2.06	-4.49	1.25	1.77
"8"	"ACTR2"	"P61160"	0.348769498212363	0.999999999999996	0.999999999999996	0.213635212361481	2.71305287924388e-13	0.702	0.837	0.664	0.654	0.0388	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	0.607	-3.55e-15	-3.55e-15	0.81	7.68	-0.908	-1.52	-1.52	-0.705	-1.52	6.16
"9"	"ADCK3"	"Q8NI60-3"	0.999999999999938	0.999999999999938	0.999999999999938	0.999999999999938	7.80409671907463e-30	0.839	0.837	0.664	0.774	3.74e-15	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	-1.42e-14	-1.42e-14	-1.42e-14	-1.42e-14	8.04	-1.34	-1.34	-1.34	-1.34	-1.34	6.7
"10"	"ADRM1"	"Q16186"	9.96173002107202e-10	0.00419426259850437	0.304495467653727	1.669696785849e-09	1.14530403251957e-08	1.85e-10	0.351	0.326	0.000769	0.344	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	8.84	3.18	1.08	8.64	7.89	3.9	-1.75	-3.86	3.7	-4.94	2.95
