	name	ID	cand2_no_overlap	cand12_no_overlap	cand12_vs_parental_p.val	cand2_vs_parental_p.val	cand12_vs_parental_p.adj	cand2_vs_parental_p.adj	cand12_vs_parental_significant	cand2_vs_parental_significant	significant	cand12_vs_parental_ratio	cand2_vs_parental_ratio	cand12_centered	cand2_centered	parental_centered
1	AMD1	P17707	yes	#N/A	0.999999999999991	1.04069625681297e-13	0.911	2.88e-11	FALSE	TRUE	TRUE	-3.55e-15	6.43	-2.14	4.28	-2.14
3	CPSF1	Q10570	yes	#N/A	1	5.82308351581435e-11	0.911	2.48e-05	FALSE	TRUE	TRUE	0	3.63	-1.21	2.42	-1.21
4	DPYSL2	Q16555-2	yes	#N/A	0.000591191252911771	2.41243927362193e-09	0.275	0.00222	FALSE	TRUE	TRUE	2.16	5.74	-0.472	3.11	-2.64
8	HSD17B4	P51659	yes	#N/A	0.000213095803325718	1.16398168595791e-07	0.198	0.0405	FALSE	TRUE	TRUE	2.78	5.11	0.149	2.48	-2.63
11	KHSRP	Q92945	yes	#N/A	2.83976759377749e-05	1.33979434999862e-08	0.077	0.01	FALSE	TRUE	TRUE	2.97	5.25	0.228	2.51	-2.74
15	PS02457	PS02457	yes	#N/A	0.999999999999991	2.86945810048242e-20	0.911	4.02e-14	FALSE	TRUE	TRUE	-3.55e-15	15.7	-5.22	10.4	-5.22
19	UBA52	RS27A_HUMAN	yes	#N/A	0.0186790873816549	3.41341728779964e-11	0.666	1.26e-05	FALSE	TRUE	TRUE	1.29	7.25	-1.55	4.4	-2.85
13	NUP188	Q5SRE5-2	#N/A	yes	1.88963253545937e-10	0.999999999999991	6.87e-09	0.847	TRUE	FALSE	TRUE	4.21	-3.55e-15	2.81	-1.4	-1.4
14	PL02241	PL02241	#N/A	yes	4.34746408802425e-07	0.999999999999993	0.00491	0.847	TRUE	FALSE	TRUE	3.25	-3.55e-15	2.17	-1.08	-1.08
16	RPS8	P62241	#N/A	yes	2.11638126023869e-06	1.41540916343104e-06	0.0205	0.134	TRUE	FALSE	TRUE	3.69	3.8	1.19	1.31	-2.5
