name	ID	cand1_without_overlap	cand1_vs_Ctrl_p.val	cand1_vs_Ctrl_p.adj	cand1_vs_Ctrl_significant	cand1_vs_Ctrl_ratio	cand1_centered
1	>MMP24OS	>MMP24OS	yes	0.0011748355869735	0.0277	TRUE	2.18	-1.28
2	AAR2	Q9Y312	yes	0.000525182662959056	0.0145	TRUE	4.88	3.77
3	AGO2	Q9UKV8	yes	6.60046322487223e-05	0.00218	TRUE	6.04	4.83
4	AIFM1	O95831-3	yes	7.11385350856922e-07	1.08e-05	TRUE	5.19	2.85
5	AJUBA	Q96IF1	yes	1.98079522427074e-24	4.77e-15	TRUE	5.87	4.89
6	ALDH1L2	Q3SY69	yes	2.04673299860269e-38	4.77e-15	TRUE	10.4	8.65
7	ATP1A1	P05023-4	yes	4.56255628200949e-07	5.83e-06	TRUE	7.35	3.7
8	ATP2A2	P16615	yes	4.0538467756771e-06	9.71e-05	TRUE	8.24	3.8
9	ATP5B	P06576	yes	8.79228328570172e-05	0.0029	TRUE	5.97	2.53
10	BAG2	O95816	yes	2.99005038285584e-15	4.77e-15	TRUE	10.4	7.63
11	BYSL	Q13895	yes	0.000223546472078994	0.00692	TRUE	3.78	3.4
12	CCT6A	P40227	yes	0.000198737145106691	0.00625	TRUE	5.91	3.48
13	CTAG1A	P78358	yes	1.22368901411737e-09	2.77e-10	TRUE	6.2	3.7
14	DDX39A	O00148	yes	0.000234522323881107	0.00722	TRUE	5.8	2.03
15	DS1	DS1	yes	7.38559964005546e-32	4.77e-15	TRUE	10.8	9.02
16	EHD2	Q9NZN4	yes	1.82475414479634e-06	3.66e-05	TRUE	6.98	4.89
17	EMD	P50402	yes	0.000620056427285179	0.0166	TRUE	2.21	0.789
18	ERLIN1	O75477	yes	1.66432330151896e-24	4.77e-15	TRUE	6.22	3.86
19	ERLIN2	O94905	yes	2.77325714712136e-08	8.05e-08	TRUE	7.71	4.37
20	FXR1	P51114	yes	0.00162393460436846	0.0351	TRUE	4.07	4.3
21	HSP90AA1	P07900	yes	0.00184411180221915	0.0383	TRUE	4.85	1.91
22	HSPA8	P11142	yes	3.70708551212529e-07	4.36e-06	TRUE	1.84	1.42
23	MCM3	P25205	yes	8.15393907286503e-06	0.000222	TRUE	5.7	3.2
24	MLF2	Q15773	yes	0.000502676648970818	0.014	TRUE	2.62	0.345
25	MRPL14	Q6P1L8	yes	0.000527727688637725	0.0145	TRUE	2.66	1.21
26	NDUFS2	O75306	yes	3.09534830156552e-09	1.63e-09	TRUE	6.38	4.62
27	NDUFS3	O75489	yes	0.00089602744034677	0.0225	TRUE	4.76	3.23
28	NIPSNAP1	Q9BPW8	yes	3.48373123805481e-08	1.16e-07	TRUE	9.23	7.01
29	NPEPPS	P55786	yes	5.84060130844743e-06	0.00015	TRUE	5.03	2.65
30	NTPCR	Q9BSD7	yes	0.00140617535401492	0.0317	TRUE	2.56	0.678
31	NUP93	Q8N1F7	yes	0.00150708799787116	0.0333	TRUE	3.21	0.969
32	PDHB	P11177-2	yes	3.3017951025608e-08	1.07e-07	TRUE	4.13	2.14
33	PFKP	Q01813	yes	2.56003335796695e-06	5.48e-05	TRUE	7.44	3.04
34	PGAM5	Q96HS1	yes	0.00017695662188085	0.00563	TRUE	4.73	3.39
35	PLEC	Q15149-7	yes	0.000506991065260071	0.0141	TRUE	5.14	3.08
36	PPM1F	P49593	yes	3.008079407328e-12	4.77e-15	TRUE	7.3	4.11
37	PSMA1	P25786	yes	1.8509723997567e-11	1.74e-14	TRUE	11.6	8.72
