name	ID	cand16_harsh_without.overlap	cand16_PBS_without.overlap	cand16_harsh_vs_cand16_pbs_p.val	cand16_harsh_vs_parental_harsh_p.val	cand16_harsh_vs_parental_pbs_p.val	cand16_pbs_vs_parental_harsh_p.val	cand16_pbs_vs_parental_pbs_p.val	cand16_harsh_vs_cand16_pbs_p.adj	cand16_harsh_vs_parental_harsh_p.adj	cand16_harsh_vs_parental_pbs_p.adj	cand16_pbs_vs_parental_harsh_p.adj	cand16_pbs_vs_parental_pbs_p.adj	cand16_harsh_vs_cand16_pbs_significant	cand16_harsh_vs_parental_harsh_significant	cand16_harsh_vs_parental_pbs_significant	cand16_pbs_vs_parental_harsh_significant	cand16_pbs_vs_parental_pbs_significant	cand16_harsh_vs_cand16_pbs_ratio	cand16_harsh_vs_parental_harsh_ratio	cand16_harsh_vs_parental_pbs_ratio	cand16_pbs_vs_parental_harsh_ratio	cand16_pbs_vs_parental_pbs_ratio	cand16_harsh_centered	cand16_pbs_centered
1	DS16_GFP	DS16_GFP	yes	yes	0.000274967129935168	5.67825369689876e-15	5.67825369689876e-15	5.0599131252687e-14	5.0599131252687e-14	0.201	2.86e-14	5.76e-14	1	2.15e-14	FALSE	TRUE	TRUE	FALSE	TRUE	1.6	11.2	11.2	9.55	9.55	5.98	4.38
4	LPXN	O60711	yes	yes	0.0106171571133771	0.00940101607622272	2.66116272408368e-10	0.952282625356901	4.52625670300523e-09	0.688	0.0425	8.96e-12	1	2.15e-14	FALSE	TRUE	TRUE	FALSE	TRUE	0.997	1.02	5.22	0.0207	4.23	1.81	0.812
7	ABHD10	Q9NUJ1	#N/A	yes	0.00178516622442535	0.844033082774734	0.0605868904578977	0.00119834038079724	0.0947665355175095	0.46	0.862	0.714	1	0.0245	FALSE	FALSE	FALSE	FALSE	TRUE	-3.32	0.174	-1.77	3.49	1.55	-1.23	2.09
8	APOA1BP	Q8NCW5	#N/A	yes	0.16525309245435	0.432145425040898	0.00635482770088365	0.0391035857197075	0.104980535857931	0.88	0.766	0.482	1	0.0296	FALSE	FALSE	FALSE	FALSE	TRUE	1.56	-0.863	3.41	-2.43	1.85	1.03	-0.535
9	ATP5A1	P25705	#N/A	yes	0.399154496805769	0.522639632011704	0.00659886356934757	0.149193452092933	0.0366056835147723	0.913	0.798	0.487	1	0.00238	FALSE	FALSE	FALSE	FALSE	TRUE	0.888	-0.67	3.24	-1.56	2.36	0.865	-0.0225
10	ATP5C1	P36542	#N/A	yes	0.370576476084091	0.70185523450983	0.0240601893006887	0.209176459886561	0.13181930891096	0.911	0.84	0.63	1	0.0444	FALSE	FALSE	FALSE	FALSE	TRUE	0.881	-0.372	2.4	-1.25	1.52	0.728	-0.153
11	COPE	O14579	#N/A	yes	0.005017391883508	0.999999999999998	0.11585993088452	0.00501739188350797	0.123440275880595	0.601	0.88	0.763	1	0.0398	FALSE	FALSE	FALSE	FALSE	TRUE	-4.07	3.55e-15	-2.06	4.07	2.01	-1.53	2.54
12	DCD	P81605	#N/A	yes	0.113449513721543	0.246036940390899	0.146123733000554	0.0115259601342988	0.00598530987361026	0.863	0.651	0.779	1	8.43e-06	FALSE	FALSE	FALSE	FALSE	TRUE	-1.85	1.33	1.68	3.17	3.53	0.291	2.14
13	DHX9	Q08211	#N/A	yes	0.00303666985920213	0.999999999999997	0.422916239532116	0.0030366698592021	0.0158330643872356	0.535	0.88	0.842	1	0.000227	FALSE	FALSE	FALSE	FALSE	TRUE	-3.4	3.55e-15	-0.788	3.4	2.61	-1.05	2.35
14	EFTUD2	Q15029-2	#N/A	yes	0.658770089329828	0.910374584006612	0.177958212408441	0.741455801610471	0.0824141086632225	0.929	0.871	0.792	1	0.0184	FALSE	FALSE	FALSE	FALSE	TRUE	-0.6	-0.152	1.88	0.448	2.48	0.283	0.883
15	EIF4A1	P60842	#N/A	yes	0.795141871695277	0.28186828904918	0.0814395762102867	0.407310873059424	0.129267157420069	0.934	0.682	0.737	1	0.043	FALSE	FALSE	FALSE	FALSE	TRUE	0.321	1.36	2.27	1.04	1.95	0.987	0.667
18	FBXO22	Q8NEZ5	#N/A	yes	0.0638226052817711	0.355676609207463	0.000555054746758877	0.309276757409826	0.0299856389966741	0.832	0.73	0.252	1	0.00146	FALSE	FALSE	FALSE	FALSE	TRUE	1.32	0.629	2.91	-0.695	1.59	1.22	-0.108
19	H3F3C	PS07924	#N/A	yes	0.00174291093808575	0.603446427306739	0.999999999999997	0.00505622426308539	0.00174291093808573	0.456	0.819	0.886	1	7.27e-08	FALSE	FALSE	FALSE	FALSE	TRUE	-3.79	-0.524	3.55e-15	3.26	3.79	-1.08	2.71
20	HIST1H1B	P16401	#N/A	yes	4.78152850893197e-05	0.411776506018846	0.30608605504399	0.000226773000028283	0.000342449100270632	0.0635	0.758	0.824	1	1.28e-11	FALSE	FALSE	FALSE	FALSE	TRUE	-3.69	-0.544	-0.683	3.14	3.01	-1.23	2.46
21	HIST1H4A	P62805	#N/A	yes	0.00234788739011004	0.905233229112815	0.232761844249472	0.00184263411175332	0.028089225517805	0.499	0.87	0.808	1	0.00124	FALSE	FALSE	FALSE	FALSE	TRUE	-4.48	0.147	-1.51	4.63	2.97	-1.46	3.02
22	HNRNPF	P52597	#N/A	yes	0.165529297815096	0.321996350513571	0.00636544856998331	0.0257839221832485	0.10494567389479	0.88	0.71	0.482	1	0.0296	FALSE	FALSE	FALSE	FALSE	TRUE	1.45	-1.01	3.16	-2.46	1.71	0.897	-0.548
23	HSPA5	P11021	#N/A	yes	0.117909609894694	0.958431162617319	0.00245125385100419	0.129086266053244	0.0643869199793934	0.865	0.876	0.384	1	0.0107	FALSE	FALSE	FALSE	FALSE	TRUE	1.59	0.0506	3.5	-1.54	1.91	1.28	-0.303
24	HSPA9	P38646	#N/A	yes	0.0108461993130787	0.623212429056246	5.92374289817253e-05	0.0291411172741558	0.0175613168500127	0.69	0.824	0.083	1	0.000307	FALSE	FALSE	FALSE	FALSE	TRUE	2.3	0.394	4.4	-1.9	2.1	1.77	-0.523
25	HSPG2	P98160	#N/A	yes	0.758857333614408	0.172759457776801	0.0275052410802499	0.101874656638192	0.0499464296673348	0.933	0.564	0.643	1	0.00566	FALSE	FALSE	FALSE	FALSE	TRUE	0.443	-2.03	3.47	-2.47	3.03	0.471	0.0283
26	MIF	P14174	#N/A	yes	0.0157087275660525	0.855035689933371	2.68071196451388e-05	0.0226479568157335	0.00494896675764332	0.726	0.864	0.0484	1	4.83e-06	FALSE	FALSE	TRUE	FALSE	TRUE	1.34	0.091	2.96	-1.25	1.62	1.1	-0.242
27	NDUFS7	O75251-2	#N/A	yes	0.454157375801115	0.155581626685047	0.0322711324094541	0.0392644064594449	0.00706284034369943	0.917	0.536	0.658	1	1.47e-05	FALSE	FALSE	FALSE	FALSE	TRUE	-0.56	1.09	1.73	1.65	2.29	0.564	1.12
28	NDUFV1	P49821-2	#N/A	yes	0.194288789188175	0.824209150543786	0.652379684003799	0.274772760587248	0.0894216878791685	0.887	0.859	0.864	1	0.0218	FALSE	FALSE	FALSE	FALSE	TRUE	-1.14	-0.189	0.385	0.949	1.52	-0.236	0.903
30	RPL14	P50914	#N/A	yes	0.36652404172952	0.635645449193709	0.0186267273827505	0.17798628448965	0.00288703203221704	0.91	0.827	0.604	1	6.32e-07	FALSE	FALSE	FALSE	FALSE	TRUE	-0.653	0.339	1.86	0.992	2.51	0.386	1.04
31	RPL26	P61254	#N/A	yes	1.97746408903436e-05	0.999999999999996	0.000968321280583565	1.97746408903434e-05	0.0539770513249415	0.0308	0.88	0.304	1	0.00687	TRUE	FALSE	FALSE	FALSE	TRUE	-4.83	3.55e-15	-3.2	4.83	1.63	-2.01	2.82
