name	ID	cand19_vs_parental_p.val	cand19_vs_parental_p.adj	cand19_vs_parental_significant	cand19_vs_parental_ratio	cand19_centered
3	ANXA2	P07355	8.04340839815513e-28	1.04e-12	TRUE	11.2	9.58
12	CDKN2AIP	Q9NXV6	1.21256253057851e-29	4.86e-15	TRUE	5.88	5.14
13	CFL1	P23528	4.05662288160799e-17	0.0014	TRUE	10.3	8.35
26	EEF2	P13639	1.14004230669016e-39	4.86e-15	TRUE	6.19	5.42
35	GAPDH	P04406-2	1.34055923057786e-12	0.0389	TRUE	6.8	5.95
63	KHSRP	Q92945	3.33310295259057e-16	0.00312	TRUE	5.01	4.24
64	LANCL2	Q9NS86	2.37768791469922e-40	4.86e-15	TRUE	7.49	6.56
65	LMNA	P02545-2	4.8534366866111e-32	4.86e-15	TRUE	5.41	4.73
67	MAGEA4	P43358	1.22376878110915e-42	4.86e-15	TRUE	6.46	5.65
89	PAICS	P22234	1.0910597704937e-12	0.0371	TRUE	7.19	5.72
90	PALLD	Q8WX93-4	2.45423454916419e-12	0.0442	TRUE	4.19	3.67
91	PCBP1	Q15365	1.05159802758993e-22	5.05e-07	TRUE	6.9	5.96
96	PKM	P14618	3.0591977353452e-32	4.86e-15	TRUE	6.84	5.99
100	PRDX1	PRDX1_HUMAN	8.16416687650892e-26	4.2e-10	TRUE	11.2	9.49
101	PRDX2	P32119	4.39850943177959e-45	4.86e-15	TRUE	7.45	6.52
102	PRDX6	P30041	4.68155995810379e-48	4.86e-15	TRUE	9.03	7.9
118	RCC2	Q9P258	4.20882589205943e-44	4.86e-15	TRUE	7.14	6.25
138	RPS28	P62857	8.78126224245657e-14	0.0198	TRUE	8.88	6.97
143	SF1	Q15637-4	2.55344383546197e-37	4.86e-15	TRUE	5.74	5.02
157	TGM2	P21980	1.96089243820841e-12	0.0422	TRUE	4.96	4.34
166	TXN	THIO_HUMAN	1.36871779500798e-18	0.000284	TRUE	7.86	6.65
168	XPNPEP3	Q9NQH7-4	8.56977922297186e-46	4.86e-15	TRUE	9.94	8.7
169	XRN2	Q9H0D6	1.48666647642496e-16	0.00235	TRUE	8.5	7.09
171	YWHAQ	P27348	7.73089033285899e-15	0.00944	TRUE	5.58	4.69
