name	ID	cand2_no_overlap	cand2_vs_parental_p.val	cand2_vs_parental_p.adj	cand2_vs_parental_significant	cand2_vs_parental_ratio	cand2_centered
1	AMD1	P17707	yes	1.04069625681297e-13	2.88e-11	TRUE	6.43	4.28
2	CPSF1	Q10570	yes	5.82308351581435e-11	2.48e-05	TRUE	3.63	2.42
3	DPYSL2	Q16555-2	yes	2.41243927362193e-09	0.00222	TRUE	5.74	3.11
4	HSD17B4	P51659	yes	1.16398168595791e-07	0.0405	TRUE	5.11	2.48
5	KHSRP	Q92945	yes	1.33979434999862e-08	0.01	TRUE	5.25	2.51
6	PS02457	PS02457	yes	2.86945810048242e-20	4.02e-14	TRUE	15.7	10.4
7	UBA52	RS27A_HUMAN	yes	3.41341728779964e-11	1.26e-05	TRUE	7.25	4.4
12	ATAD3A	Q9NVI7-2	#N/A	1.37316449636161e-12	2.59e-08	TRUE	4.92	1.47
13	DPYSL3	Q14195-2	#N/A	2.50021072039971e-08	0.0154	TRUE	3.41	2.09
18	MICAL1	Q8TDZ2	#N/A	1.03236648190935e-07	0.038	TRUE	4.39	2.92
19	SQSTM1	Q13501	#N/A	3.98623697983676e-14	1.75e-12	TRUE	6.64	4.43
